"name","picked","win","lose","position", "blue_pick", "red_pick", "banned", "By"
"Jayce",6,2,4,"Mid",1,4,5,5
"Sejuani",7,4,3,"Jungle",4,3,1,7
"Orianna",11,7,4,"Mid",7,4,19,9
"Ashe",1,1,0,"ADC",1,0,0,1
"Renata Glasc",4,3,1,"Support",2,1,7,3
"Ksante",14,6,8,"Top",8,6,7,10
"Lee sin",7,2,5,"Jungle",1,6,12,6
"Syndra",6,1,5,"Mid",2,4,5,4
"Aphelios",3,1,2,"ADC",1,2,0,2
"Rell",8,4,4,"Support",4,4,3,8
"Jax",10,6,4,"Top",5,5,11,8
"Taliyah",3,1,2,"Jungle",2,2,4,3
"Xayah",16,14,2,"ADC",12,4,12,12
"Alistar",13,6,7,"Support",2,11,7,11
"Gwen",1,0,1,"Top",0,1,2,1
"Jarvan 4",11,5,6,"Jungle",6,5,10,7
"Ezreal",3,0,3,"ADC",1,2,1,3
"Rakan",18,10,8,"Support",11,8,5,11
"Vi",9,3,6,"Jungle",4,5,10,8
"Ahri",4,2,2,"Mid",1,3,3,4
"Kaisa",19,6,13,"ADC",7,12,2,13
"Neeko",6,4,2,"Mid",5,1,13,6
"Sett",1,0,1,"Support",0,1,0,1
"Garen",1,0,1,"Top",1,0,3,1
"Cassiopeia",1,0,1,"Mid",1,0,0,1
"Ornn",2,1,1,"Top",0,2,4,2
"Renekton",10,6,4,"Top",7,3,10,8
"Maokai",7,4,3,"Jungle",5,2,21,5
"Draven",2,1,1,"ADC",0,2,4,1
"Jayce",2,1,1,"Top",1,1,0,3
"Rell",4,3,1,"Jungle",2,2,2,3
"Azir",9,5,4,"Mid",4,5,12,5
"Varus",1,0,1,"ADC",0,1,0,1
"Rumble",8,6,2,"Top",4,4,15,6
"Poppy",2,1,1,"Jungle",1,1,13,2
"Leona",4,1,3,"Support",2,2,0,2
"Kalista",3,1,2,"ADC",1,2,23,3
"Aatrox",5,2,3,"Top",1,4,0,5
"Zac",1,0,1,"Jungle",0,1,0,1
"Taliyah",4,0,4,"Mid",0,3,2,4
"Senna",1,1,0,"ADC",1,0,0,1
"Tahm Kench",1,1,0,"Support",1,0,0,1
"Viego",2,1,1,"Jungle",1,1,3,2
"Tristana",3,2,1,"ADC",1,2,0,2
"Gnar",1,1,0,"Top",1,0,2,1
"Belveth",2,1,1,"Jungle",1,1,2,2
"Lissandra",1,1,0,"Mid",1,0,1,1
"Nautilus",4,2,2,"Support",3,1,7,4
"Khazix",1,1,0,"Jungle",1,0,0,1
"Akali",4,2,2,"Mid",1,3,1,3
"Yone",1,1,0,"Top",1,0,2,1
"Vex",1,1,0,"Mid",1,0,0,1
"Blitzcrank",2,0,2,"Support",0,2,2,1
"Ziggs",1,0,1,"ADC",1,0,5,1
"Zeri",3,2,1,"ADC",1,2,0,3
"Lulu",1,1,0,"Support",1,0,0,1
"Camille",1,0,1,"Top",0,1,0,1
"Sylas",4,4,0,"Mid",3,1,3,4
"Wukong",3,2,1,"Jungle",3,0,1,3
"Lucian",1,0,1,"ADC",1,0,0,1
"Tristana",2,1,1,"Mid",1,1,0,2
"Lissandra",1,0,1,"Support",1,0,0,1
"Caitlyn",1,1,0,"ADC",1,0,6,1
"Ivern",1,0,1,"Jungle",0,1,2,1
"Darius",0,0,0,"Top",0,1,3,0
"Olaf",1,0,1,"Top",1,0,2,1
"Kennen",1,0,1,"Top",0,1,5
"Pyke",0,0,0,"Support",0,0,1
"Leblanc",1,0,1,"Mid",0,1,3,1
"Bard",1,1,0,"Support",1,0,0,1
"Sivir",1,0,1,"ADC",0,1,1,1
"Nilah",1,0,1,"ADC",0,1,0,1
"Nocturne",0,0,0,"Jungle",0,0,2,0
"Thresh",1,0,1,"Support",1,0,0,1
"Kindred",1,1,0,"Jungle",1,0,1,1
"Malphite",0,0,0,"Top",0,0,1,0
"Lux",1,1,0,"Support",1,0,0,1
"Volibear",1,0,1,"Top",0,1,0,1
"Yasuo",0,0,0,"Mid",0,0,1,